word,article,plural,translation,example sentence normal,example sentence plural
Empfängerin,die,-nen,female recipient,"Die Empfängerin öffnet den Brief. (The female recipient opens the letter.)","Zwei Empfängerinnen haben geantwortet. (Two female recipients responded.)"
empfehlen,–,–,to recommend,"Kannst du mir ein gutes Restaurant empfehlen? (Can you recommend a good restaurant to me?)",
Ende,das,-n,end,"Das Ende des Films war traurig. (The end of the film was sad.)","Viele Enden in Büchern sind überraschend. (Many endings in books are surprising.)"
enden,–,–,to end,"Wann endet der Kurs? (When does the course end?)",
endlich,–,–,finally,"Endlich habe ich Urlaub. (Finally, I have a vacation.)",
Endung,die,-en,ending,"Die Endung des Wortes zeigt den Fall. (The ending of the word shows the case.)","In dieser Sprache gibt es viele Endungen. (There are many endings in this language.)"
eng,–,–,tight,"Diese Hose ist mir zu eng. (These pants are too tight for me.)",
Englisch,–,–,English,"Ich lerne Englisch. (I am learning English.)",
Englisch-Test,der,-s,English test,"Der Englisch-Test war schwierig. (The English test was difficult.)",
entdecken,–,–,to discover,"Wir möchten neue Orte entdecken. (We want to discover new places.)",
Entscheidung,die,-en,decision,"Die Entscheidung fiel ihm schwer. (The decision was hard for him.)","Viele Entscheidungen müssen getroffen werden. (Many decisions have to be made.)"
entschuldigen,–,–,to apologize,"Ich möchte mich für den Fehler entschuldigen. (I want to apologize for the mistake.)",
Entschuldigung,die,-en,apology,"Entschuldigung, ich bin zu spät. (Sorry, I am late.)","Viele Entschuldigungen wurden gegeben. (Many apologies were given.)"
Erdgeschoss,das,-e,ground floor,"Unser Büro befindet sich im Erdgeschoss. (Our office is located on the ground floor.)",
Ereignis,das,-se,event,"Das Konzert war ein großes Ereignis. (The concert was a major event.)",
Erfindung,die,-en,invention,"Die Erfindung des Rades war revolutionär. (The invention of the wheel was revolutionary.)",
ergänzen,–,–,to supplement,"Kannst du den Bericht noch ergänzen? (Can you supplement the report further?)",
Ergebnis,das,-se,result,"Das Ergebnis des Tests ist gut. (The result of the test is good.)","Die Ergebnisse werden morgen veröffentlicht. (The results will be published tomorrow.)"
erkältet,–,–,cold (illness),"Ich bin erkältet und bleibe im Bett. (I have a cold and will stay in bed.)",
erklären,–,–,to explain,"Kannst du mir das Problem erklären? (Can you explain the problem to me?)",
Erlaubnis,die,-se,permission,"Ich habe die Erlaubnis meiner Eltern. (I have my parents’ permission.)",
erlaubt sein,–,–,to be allowed,"Hier ist Parken nicht erlaubt. (Parking is not allowed here.)",
erschließen,–,–,to conclude,"Man kann aus den Daten vieles erschließen. (One can conclude many things from the data.)",
erst,–,–,first,"Er ist erst fünf Jahre alt. (He is only five years old.)",
erste,–,–,first,"Die erste Silbe ist betont. (The first syllable is stressed.)","Der Erste bekommt einen Preis. (The first person gets a prize.)"
Erste,der/die,-n,first (person),"Der Erste kommt ins Ziel. (The first one reaches the goal.)","Viele Erste bei den Veranstaltungen waren Ehrengäste. (Many first-timers at the events were VIPs.)"
Erwachsene,der/die,-n,adult,"Der Film ist nur für Erwachsene. (The movie is only for adults.)","In der Schlange standen vor allem Erwachsene. (Mainly adults were standing in line.)"
erzählen,–,–,to tell,"Erzähle mir eine Geschichte. (Tell me a story.)",
Erzieher,der,–,educator (male),"Der Erzieher passt auf die Kinder auf. (The male educator takes care of the children.)","Alle Erzieher haben eine Ausbildung. (All male educators have training.)"
Erzieherin,die,-nen,educator (female),"Die Erzieherin plant den Tagesablauf. (The female educator plans the daily routine.)","Zwei Erzieherinnen arbeiten in dieser Gruppe. (Two female educators work in this group.)"
es,–,–,it,"Es regnet heute. (It is raining today.)","Seine Meinung ist ganz bestimmt. (His opinion is definite.)"
Essen,das,–,food,"Das Essen ist lecker. (The food is delicious.)","Die Essen im Restaurant waren hervorragend. (The foods at the restaurant were excellent.)"
essen,–,–,to eat,"Ich esse gern Pizza. (I like to eat pizza.)",
Essig,der,-e,vinegar,"Ein Spritzer Essig macht den Salat frisch. (A splash of vinegar makes the salad fresh.)","In den Regalen stehen verschiedene Essige. (There are various vinegars on the shelves.)"
etwas (1),–,–,something,"Ich möchte dir etwas zeigen. (I want to show you something.)",
etwas (2),–,–,somewhat,"Ich bin etwas müde. (I’m somewhat tired.)",
euch,–,–,"you (plural, accusative)","Ich sehe euch morgen. (I’ll see you tomorrow.)",
euer,–,–,your (plural),"Ist das euer Auto? (Is that your car?)",
Euro,der,-s,Euro (currency),"Der Preis beträgt zehn Euro. (The price is ten euros.)",
Event,das,-s,event,"Das Event war sehr spannend. (The event was very exciting.)","Viele Events finden im Sommer statt. (Many events take place in the summer.)",
Experiment,das,-e,experiment,"Wir führen ein Experiment im Labor durch. (We conduct an experiment in the laboratory.)",
Extra,–,–,special,"Als Extra gab es Kuchen. (There was cake as a special treat.)",
Fachwerkhaus,das,–,half-timbered house,"Das Fachwerkhaus sieht sehr alt aus. (The half-timbered house looks very old.)","Viele Fachwerkhäuser stehen in dieser Stadt. (Many half-timbered houses stand in this city.)",
fahren,–,–,to drive,"Ich fahre jeden Tag mit dem Auto zur Arbeit. (I drive to work by car every day.)",
Fahrkarte,die,-n,ticket,"Kaufst du mir eine Fahrkarte? (Will you buy me a ticket?)","Die Fahrkarten sind am Automaten erhältlich. (The tickets are available at the machine.)",
Fahrrad,das,-er,bicycle,"Ich habe ein neues Fahrrad gekauft. (I bought a new bicycle.)","In der Stadt gibt es viele Fahrräder. (There are many bicycles in the city.)",
Fahrradtour,die,-en,bike tour,"Wir machen morgen eine Fahrradtour. (We’re taking a bike tour tomorrow.)","Im Sommer werden häufig Fahrradtouren organisiert. (Bike tours are often organized in summer.)",
falsch,–,–,wrong,"Das ist die falsche Antwort. (That is the wrong answer.)",
Fall,der,-e,case,"Im Fall eines Notfalls rufen Sie die Polizei. (In case of an emergency, call the police.)","Die Fälle sind sehr unterschiedlich. (The cases are very different.)",
Fleisch,das,–,meat,"Ich esse kein Fleisch. (I don’t eat meat.)","Das Fleisch ist frisch und zart. (The meat is fresh and tender.)",
Fleischerei,die,-en,butcher shop,"Die Fleischerei verkauft frisches Fleisch. (The butcher shop sells fresh meat.)","In der Stadt gibt es viele Fleischereien. (There are many butcher shops in the city.)",
Flughafen,der,–,airport,"Der Flughafen ist weit weg. (The airport is far away.)","Die Flughäfen sind gut organisiert. (The airports are well organized.)",
Flughafenbus,der,-se,airport bus,"Der Flughafenbus fährt alle 30 Minuten. (The airport bus runs every 30 minutes.)","Die Flughafenbusse sind pünktlich. (The airport buses are punctual.)",
Flughafeninformation,die,-en,airport information,"Die Flughafeninformation ist am Terminal. (The airport information is at the terminal.)","Die Flughafeninformationen sind hilfreich. (The airport information is helpful.)",
Flughafenmitarbeiter,der,-,airport employee,"Der Flughafenmitarbeiter hilft mir. (The airport employee helps me.)","Die Flughafenmitarbeiter sind freundlich. (The airport employees are friendly.)",
Flughafenmitarbeiterin,die,-nen,female airport employee,"Die Flughafenmitarbeiterin gibt mir",
Flusss,der,-e,river,"Der Fluss fließt durch die Stadt. (The river flows through the city.)","Die Flüsse in der Region sind sauber. (The rivers in the region are clean.)",
Familie,die,-n,family,"Meine Familie kommt zu Besuch. (My family is coming to visit.)","Alle Familien feierten zusammen. (All families celebrated together.)",
Familienfoto,das,-s,family photo,"Auf dem Familienfoto lachen alle. (Everyone is smiling in the family photo.)","Ich habe viele Familienfotos im Album. (I have many family photos in the album.)",
Familienname,der,-n,family name,"Mein Familienname ist Müller. (My family name is Müller.)",
Fantasie,die,–,imagination,"Kinder haben eine reiche Fantasie. (Children have a rich imagination.)",
folgen,–,–,to follow,"Die Kinder folgen dem Lehrer. (The children follow the teacher.)",
Farbe,die,-n,color,"Die Farbe des Autos ist rot. (The color of the car is red.)","Die Farben sind sehr schön. (The colors are very beautiful.)",
Farbenlehre,die,–,color theory,"Die Farbenlehre ist wichtig für Künstler. (Color theory is important for artists.)",
Farbenmix,der,-e,color mix,"Der Farbenmix ist sehr kreativ. (The color mix is very creative.)","Viele Farbenmixe sind im Angebot. (Many color mixes are on offer.)",
Farbenpuzzle,das,-,color puzzle,"Das Farbenpuzzle ist für Kinder geeignet. (The color puzzle is suitable for children.)",
Farbenvielfalt,die,–,color variety,"Die Farbenvielfalt ist beeindruckend. (The color variety is impressive.)",
Farbenwahl,die,–,color choice,"Die Farbenwahl ist wichtig für das Design. (The color choice is important for the design.)",
Farbenwechsel,der,-,color change,"Der Farbenwechsel ist sehr interessant. (The color change is very interesting.)",
Farbenwunsch,der,-e,color wish,"Der Farbenwunsch wurde erfüllt. (The color wish was fulfilled.)",
Farbenzauber,der,-,color magic,"Der Farbenzauber ist faszinierend. (The color magic is fascinating.)",
Farbenzauberer,der,-,color magician,"Der Farbenzauberer zeigt seine Tricks. (The color magician shows his tricks.)",
Farbenzauberin,die,-nen,color magician, "Die Farbenzauberin ist sehr talentiert. (The color magician is very talented.)",
Farbe,die,-n,color,"Die Farbe des Himmels ist blau. (The color of the sky is blue.)","Viele Farben wurden gemischt. (Many colors were mixed.)"
faul,–,–,lazy,"Ich bin heute faul. (I am lazy today.)",
Februar,der,–,February,"Der Februar ist der kürzeste Monat. (February is the shortest month.)",
fehlen,–,–,to be missing,"Es fehlt noch Salz in der Suppe. (The soup still needs salt.)",
fehlend,–,–,missing,"Die fehlenden Teile wurden nachgeliefert. (The missing parts were delivered later.)",
Fehler,der,-e,mistake,"Ich habe einen Fehler gemacht. (I made a mistake.)","Alle Fehler wurden korrigiert. (All mistakes were corrected.)"
Feier,die,-n,celebration,"Die Feier war sehr schön. (The celebration was very nice.)","Viele Feiern finden im Sommer statt. (Many celebrations take place in summer.)"
Feierabend,der,-e,end of work day,"Ich freue mich auf den Feierabend. (I’m looking forward to the end of the work day.)",
feiern,–,–,to celebrate,"Wir werden deinen Geburtstag feiern. (We will celebrate your birthday.)",
frei,–,–,"free, available","Die Plätze sind noch frei. (Seats are still available.)",
freilhaben,–,–,to be off work,"Morgen habe ich freiliegen. (I am off work tomorrow.)",
Freizeit,die,–,"leisure time, free time","In meiner Freizeit lese ich gerne. (In my free time I like to read.)",
Freizeitaktivität,die,-en,leisure activity,"Schwimmen ist meine Lieblings-Freizeitaktivität. (Swimming is my favorite leisure activity.)","Verschiedene Freizeitaktivitäten werden angeboten. (Various leisure activities are offered.)"
Freizeitkleidung,die,–,leisure clothing,"Im Urlaub trage ich bequeme Freizeitkleidung. (On vacation, I wear comfortable leisure clothing.)",
freuen (sich),–,–,"to be happy, to rejoice","Ich freue mich auf das Wochenende. (I’m looking forward to the weekend.)",
Freund,der,-e,friend (male),"Mein Freund hilft mir bei den Hausaufgaben. (My friend helps me with the homework.)","Alle Freunde sind eingeladen. (All friends are invited.)"
Freundin,die,-nen,friend (female),"Meine Freundin wohnt im Ausland. (My friend \[female] lives abroad.)","Viele Freundinnen treffen sich im Café. (Many female friends meet in the café.)"
freundlich,–,–,friendly,"Die Gastgeber waren sehr freundlich. (The hosts were very friendly.)",
frisch,–,–,fresh,"Das Brot ist noch frisch. (The bread is still fresh.)",
Friseur,der,-e,hairdresser (male),Der Friseur schneidet mir die Haare. (The male hairdresser is cutting my hair.),Die Friseure arbeiten in einem modernen Salon. (The male hairdressers work in a modern salon.)
Friseurin,die,-nen,hairdresser (female),Die Friseurin färbt meine Haare blond. (The female hairdresser dyes my hair blonde.),Die Friseurinnen sind sehr kreativ. (The female hairdressers are very creative.)
froh,–,–,happy,"Ich bin heute sehr froh. (I am very happy today.)",
früh,–,–,early,"Ich stehe früh auf. (I get up early.)",
früher,–,–,earlier,"Früher war alles anders. (Earlier, everything was different.)",
Frühling,der,–,spring,"Der Frühling beginnt im März. (Spring begins in March.)","Die Frühlinge in Deutschland sind oft regnerisch. (Springs in Germany are often rainy.)"
Frühstück,das,-e,breakfast,"Wir essen um acht Uhr Frühstück. (We have breakfast at eight o’clock.)",
frühstücken,–,–,to have breakfast,"Wir frühstücken jeden Tag zusammen. (We have breakfast together every day.)",
führen,–,–,"to lead, to conduct (a conversation)","Er führt das Team sehr gut. (He leads the team very well.)",
fünf,–,–,five,"Fünf minus drei ist zwei. (Five minus three is two.)",
fünfzehn,–,–,fifteen,"Sie wird in fünfzehn Minuten hier sein. (She will be here in fifteen minutes.)",
fünfzig,–,–,fifty,"Das Buch kostet fünfzig Euro. (The book costs fifty euros.)",
für (+ A.),–,–,for,"Das Geschenk ist für dich. (The gift is for you.)",
Fuß,der,-e,foot,"Mein Fuß tut weh. (My foot hurts.)","Die Füße sind kalt. (The feet are cold.)"
Fußball,–,–,soccer,"Wir spielen gern Fußball. (We like playing soccer.)",
Fußballspiel,das,-e,soccer game,"Das Fußballspiel war spannend. (The soccer game was exciting.)","Viele Fußballspiele finden am Wochenende statt. (Many soccer games take place on the weekend.)"
Gabel,die,-n,fork,"Lege die Gabel bitte hier hin. (Please lay the fork here.)","Die Gabeln sind im Besteckkasten. (The forks are in the cutlery drawer.)"
Gadget,das,-s,gadget,"Er hat ein neues Gadget gekauft. (He bought a new gadget.)",
ganz,–,–,"complete, entire","Ich habe den ganzen Kuchen gegessen. (I ate the entire cake.)",
gar,–,–,at all,"Ich habe gar kein Geld. (I have no money at all.)",
Gefallen,der,–,"favor, pleasure","Es ist mir ein großer Gefallen. (It’s a great pleasure for me.)",
gefallen,–,–,"to like, to please","Das Bild gefällt mir sehr. (I really like the picture.)",
gegen (+ A.),–,–,against,"Er ist gegen dieses Gesetz. (He is against this law.)",
gegenseitig,–,–,mutual,"Wir helfen uns gegenseitig. (We help each other mutually.)",
gegenüber,–,–,"opposite, across from","Das Café liegt gegenüber der Kirche. (The café is opposite the church.)",
gehen,–,–,to go,"Wir gehen heute ins Kino. (We’re going to the cinema today.)",
gehören,–,–,to belong,"Das Buch gehört mir. (The book belongs to me.)",
Geige,die,-n,violin,"Sie übt jeden Tag Geige. (She practices violin every day.)","Die Geigen klingen im Orchester schön. (The violins sound beautiful in the orchestra.)"
Geigenunterricht,der,-n,violin lessons,"Ich habe Geigenunterricht am Montag. (I have violin lessons on Monday.)","Die Geigenunterrichtsstunden sind sehr beliebt. (The violin lessons are very popular.)"
gelb,–,–,yellow,"Die Sonne ist gelb. (The sun is yellow.)",
Geld,das,-er,money,"Er spart viel Geld. (He saves a lot of money.)","Die Gelder wurden gespendet. (The funds were donated.)"
Gemüse,das,–,vegetables,"Iss mehr Gemüse. (Eat more vegetables.)",
gemütlich,–,–,"cozy, comfortable","Das Wohnzimmer ist sehr gemütlich. (The living room is very cozy.)",
genau,–,–,"exact, precise","Das ist genau richtig. (That is exactly right.)",
genießen,–,–,to enjoy,"Wir genießen den Urlaub am Meer. (We enjoy the vacation by the sea.)",
gleich,–,–,"same, equal","Wir sind gleich alt. (We are the same age.)",
gleichfalls,–,–,likewise,"“Schönen Tag!” – “Gleichfalls!” (“Have a nice day!” – “Likewise!”) ",
Gleis,das,-e,platform,"Der Zug fährt von Gleis 3 ab. (The train departs from platform 3.)","Die Gleise sind gut ausgeschildert. (The platforms are well signposted.)"
Glück,das,–,"luck, happiness","Viel Glück beim Test! (Good luck on the test!)",
glücklich,–,–,happy,"Er ist nach der Reise sehr glücklich. (He is very happy after the trip.)",
Glückwunsch,der,-e,congratulations,"Herzlichen Glückwunsch zum Geburtstag! (Happy birthday congratulations!)","Alle Glückwünsche wurden überbracht. (All congratulations were conveyed.)"
Grad,der,-e,"degree, grade","Die Temperatur steigt um fünf Grad. (The temperature rises by five degrees.)","Die Grade wurden gemessen. (The degrees were measured.)"
Gramm,das,–,gram,"200 Gramm Schokolade reichen nicht. (200 grams of chocolate are not enough.)",
Grammatik,die,-en,grammar,"Wir lernen heute Grammatik. (We’re learning grammar today.)","Die Grammatiken dieses Kurses variieren. (The grammars of this course vary.)"
grau,–,–,gray,"Der Himmel ist grau. (The sky is gray.)",
Griechenland,–,–,Greece,"Griechenland ist ein beliebtes Reiseziel. (Greece is a popular travel destination.)",
grillen,–,–,to grill,"Wir grillen am See. (We grill by the lake.)",
Grillparty,die,-s,barbecue party,"Nächste Woche ist die Grillparty. (Next week is the barbecue party.)",
groß,–,–,"large, big","Das Haus ist sehr groß. (The house is very big.)",
Größe,die,-n,size,"Welche Größe brauchst du? (Which size do you need?)","Die Größen variieren je nach Hersteller. (The sizes vary by manufacturer.)"
Großeltern,die,–,grandparents,"Meine Großeltern besuchen uns im Sommer. (My grandparents visit us in summer.)",
Großmutter,die,-n,grandmother,"Meine Großmutter erzählt Geschichten. (My grandmother tells stories.)","Die Großmütter backen Kuchen. (The grandmothers bake cakes.)"
Großvater,der,-e,grandfather,"Mein Großvater war Lehrer. (My grandfather was a teacher.)","Die Großväter sitzen im Garten. (The grandfathers sit in the garden.)"
grüezi,–,–,hello (Swiss German),"Grüezi, wie geht’s Ihnen? (Hello, how are you? – Swiss German)",
grün,–,–,green,"Das Gras ist grün. (The grass is green.)",
Grund,der,-e,"reason, cause","Das ist der Grund für meine Entscheidung. (That is the reason for my decision.)","Die Gründe wurden diskutiert. (The reasons were discussed.)"
Gruppe,die,-n,group,"Die Gruppe trifft sich montags. (The group meets on Mondays.)","Die Gruppen werden im Workshop gebildet. (The groups are formed in the workshop.)"
Gruß,der,-e,greeting,"Er schickte einen lieben Gruß. (He sent a kind greeting.)","Die Grüße kamen per Post. (The greetings arrived by mail.)"
grüß Gott,–,–,"hello (Southern Germany, Austria)","Grüß Gott! Wie geht’s Ihnen? (Hello! How are you?)",
grüßen,–,–,to greet,"Er grüßt alle seine Kollegen. (He greets all his colleagues.)",
Grußformel,die,-n,salutation,"Die Grußformel steht am Ende der E-Mail. (The salutation is at the end of the email.)","Die Grußformeln variieren je nach Formalität. (The salutations vary by formality.)"
günstig,–,–,"favorable, cheap","Dieser Anbieter ist sehr günstig. (This provider is very cheap.)",
Gurke,die,-n,cucumber,"Ich schneide eine Gurke. (I’m slicing a cucumber.)","Die Gurken sind frisch geerntet. (The cucumbers are freshly harvested.)"
gut,–,–,good,"Das Wetter ist gut heute. (The weather is good today.)",
Gebot,das,-e,command,"Das Gebot lautet: “Nicht stehlen.” (The command is: “Do not steal.”)","Die Gebote sind zentrale Regeln. (The commands are central rules.)"
Geburtsdatum,das,-daten,birth date,"Mein Geburtsdatum ist der 1. Januar. (My birth date is January 1.)",
Geburtsort,der,-e,place of birth,"Mein Geburtsort ist Berlin. (My place of birth is Berlin.)","Die Geburtsorte variieren. (The places of birth vary.)"
Geburtstag,der,-e,birthday,"Mein Geburtstag ist im Juli. (My birthday is in July.)","Die Geburtstage werden gefeiert. (The birthdays are celebrated.)"
geehrt,–,–,honored,"Ich fühle mich geehrt, hier zu sprechen. (I feel honored to speak here.)",
gefährlich,–,–,dangerous,"Diese Straße ist gefährlich. (This street is dangerous.)",
Geschwister,die,–,siblings,"Ich habe zwei Geschwister. (I have two siblings.)",
Gesicht,das,-er,face,"Ihr Gesicht war besorgt. (Her face was worried.)","Die Gesichter der Kinder strahlten. (The children’s faces beamed.)"
Gespräch,das,-e,conversation,"Das Gespräch war sehr interessant. (The conversation was very interesting.)","Die Gespräche im Büro dauern oft lange. (The conversations at the office often last long.)"
Gesprächsthema,das,-themen,topic of conversation,"Das Gesprächsthema war Politik. (The topic of conversation was politics.)","Die Gesprächsthemen wechseln ständig. (The conversation topics change constantly.)"
gestern,–,–,yesterday,"Gestern war das Wetter schön. (Yesterday, the weather was nice.)",
gesund,–,–,healthy,"Ich fühle mich heute gesund. (I feel healthy today.)",
Getränk,das,-e,drink,"Das Getränk ist kalt. (The drink is cold.)","Die Getränke sind auf Eis. (The drinks are on ice.)"
getrennt,–,–,"separated, divided","Wir wohnen getrennt. (We live separately.)",
Gewicht,das,-e,weight,"Mein Gewicht ist stabil. (My weight is stable.)","Die Gewichte werden gewogen. (The weights are weighed.)"
Glas,das,-er,glass,"Ein Glas Wasser, bitte. (A glass of water, please.)","Die Gläser stehen im Schrank. (The glasses are in the cabinet.)"
glauben,–,–,to believe,"Ich glaube dir. (I believe you.)",
haben,–,–,to have,"Ich habe ein Auto. (I have a car.)",
Hafen,der,-e,harbor,"Der Hafen ist sehr groß. (The harbor is very big.)","Die Häfen an der Küste sind wichtig für den Handel. (The harbors on the coast are important for trade.)"
Hähnchen,das,–,chicken (diminutive),"Wir essen heute Hähnchen. (We’re eating chicken today.)",
halb,–,–,half,"Er ist erst halb acht. (It’s only half past seven.)",
Halbe Stunde,die,-n,half an hour,"Warte eine halbe Stunde. (Wait half an hour.)","Die halben Stunden vergehen schnell. (The half hours pass quickly.)"
Halbmarathon,der,-s,half marathon,"Er läuft einen Halbmarathon. (He’s running a half marathon.)",
hallo,–,–,hello,"Hallo, wie geht’s? (Hello, how are you?)",
Hals,der,-e,neck,"Mein Hals tut weh. (My neck hurts.)","Die Hälse der Sänger sind stark. (The singers’ necks are strong.)"
Halsschmerzen,die,–,sore throat,"Ich habe Halsschmerzen. (I have a sore throat.)",
Haltestelle,die,-n,bus stop,"Die Haltestelle ist gleich um die Ecke. (The bus stop is just around the corner.)","Die Haltestellen sind gut ausgeschildert. (The bus stops are well signposted.)"
Hamster,der,-n,hamster,"Der Hamster läuft im Rad. (The hamster runs in the wheel.)","Die Hamster sind nachtaktiv. (The hamsters are nocturnal.)"
Hand,die,-e,hand,"Gib mir deine Hand. (Give me your hand.)","Die Hände waren verschmutzt. (The hands were dirty.)"
Händler,der,–,"dealer, trader","Der Händler verkauft frisches Gemüse. (The trader sells fresh vegetables.)","Die Händler sind heute früh auf dem Markt. (The traders are at the market early today.)"
Händlerin,die,-nen,"female trader, dealer","Die Händlerin bietet lokale Produkte an. (The female trader offers local products.)","Viele Händlerinnen verkaufen Kunsthandwerk. (Many female traders sell handicrafts.)"
Handschuh,der,-e,glove,"Setz deinen Handschuh an. (Put on your glove.)","Die Handschuhe sind aus Leder. (The gloves are made of leather.)"
Handtasche,die,-n,handbag,"Ihre Handtasche ist bunt. (Her handbag is colorful.)","Die Handtaschen liegen im Geschäft. (The handbags are in the store.)"
Handtuch,das,-er,towel,"Häng dein Handtuch zum Trocknen auf. (Hang your towel up to dry.)","Die Handtücher sind frisch gewaschen. (The towels are freshly washed.)"
Handwerker,der,-,"craftsman, worker",Der Handwerker repariert das Dach. (The craftsman is repairing the roof.),Die Handwerker kommen morgen früh. (The craftsmen are coming early tomorrow.)
Handwerkerin,die,-nen,female craftsman,Die Handwerkerin streicht die Wand. (The female worker is painting the wall.),Die Handwerkerinnen arbeiten sehr genau. (The female workers work very precisely.)
Handy-Akku,der,-s,mobile phone battery,Der Handy-Akku hält den ganzen Tag. (The mobile phone battery lasts all day.),Handy-Akkus benötigen oft zwei Stunden zum Aufladen. (Mobile phone batteries often need two hours to charge.)
Handynummer,die,-n,mobile phone number,Ich habe deine Handynummer gespeichert. (I saved your mobile phone number.),Die Handynummern der Teilnehmer sind in der Liste. (The participants’ mobile phone numbers are in the list.)
hässlich,-,-,ugly,Der alte Schuppen ist hässlich. (The old shed is ugly.),
Hauptstadt,die,-e,capital city,Berlin ist die Hauptstadt Deutschlands. (Berlin is the capital city of Germany.),Viele Hauptstädte haben große Verkehrsprobleme. (Many capital cities have big traffic problems.)
Haus,das,-er,house,Das Haus hat einen großen Garten. (The house has a large garden.),Die Häuser in dieser Straße sind alt. (The houses on this street are old.)
Hausaufgabe,die,-n,homework,Ich mache meine Hausaufgabe jetzt. (I’m doing my homework now.),Die Hausaufgaben waren sehr schwierig. (The homework assignments were very difficult.)
Haushalt,der,-e,household,Der Haushalt muss erledigt werden. (The household chores need to be done.),Viele Haushalte sparen Energie. (Many households save energy.)
Haushaltswaren,die,-,household goods,Die Haushaltswaren sind im Erdgeschoss. (The household goods are on the ground floor.),
Hausmeister,der,-,"caretaker, janitor",Der Hausmeister repariert die Heizung. (The caretaker is fixing the heating.),Die Hausmeister kümmern sich um das Gebäude. (The caretakers take care of the building.)
Hausmeisterin,die,-nen,female caretaker,Die Hausmeisterin schließt das Tor. (The female caretaker is locking the gate.),Die Hausmeisterinnen sind sehr zuverlässig. (The female caretakers are very reliable.)
Hausmittel,das,-,home remedy,Honig ist ein gutes Hausmittel gegen Husten. (Honey is a good home remedy for cough.),Viele Hausmittel werden seit Generationen genutzt. (Many home remedies have been used for generations.)
Hausnummer,die,-n,house number,Die Hausnummer fehlt am Eingang. (The house number is missing at the entrance.),Die Hausnummern sind unübersichtlich angeordnet. (The house numbers are arranged in a confusing way.)
Heft,das,-e,notebook,Ich schreibe alles in mein Heft. (I write everything in my notebook.),Die Hefte liegen auf dem Tisch. (The notebooks lie on the table.)
Heimat,die,-,homeland,Meine Heimat ist in Bayern. (My homeland is in Bavaria.),
heiß,-,-,hot,Der Kaffee ist heiß. (The coffee is hot.),
heißen (1),-,-,to be called (name),Ich heiße Maria. (I am called Maria.),
heißen (2),-,-,to be named (calling),Wie heißt das auf Deutsch? (How is that called in German?),
helfen,-,-,to help,Kannst du mir helfen? (Can you help me?),
hell,-,-,bright,Das Zimmer ist sehr hell. (The room is very bright.),
Helm,der,-e,helmet,Der Helm schützt den Kopf. (The helmet protects the head.),Die Helme sind verpflichtend. (The helmets are mandatory.)
Hemd,das,-en,shirt,Das Hemd kostet sechzig Euro. (The shirt costs sixty euros.),
Herbst,der,-,autumn,Der Herbst beginnt im September. (Autumn begins in September.),Der Herbst ist meine liebste Jahreszeit. (Autumn is my favorite season.)
Herd,der,-e,stove,Der Herd ist kaputt. (The stove is broken.),Die Herde in der Küche sind modern. (The stoves in the kitchen are modern.)
Herr,der,-en,"gentleman, Mr.",Guten Tag, Herr Müller! (Good day, Mr. Müller!),
Herrenmode,die,-n,men's fashion,Die Herrenmode ändert sich jedes Jahr. (Men’s fashion changes every year.),
herzlich,-,-,heartfelt,Eine herzliche Einladung! (A heartfelt invitation!),
Hilfe,die,-n,help,Ich brauche Hilfe beim Umzug. (I need help moving.),Die Hilfen kamen rechtzeitig. (The assists/help arrived in time.)
Himmelsrichtung,die,-en,cardinal direction,Der Norden ist eine Himmelsrichtung. (North is a cardinal direction.),Die Himmelsrichtungen helfen bei der Orientierung. (The cardinal directions help with orientation.)
hinlegen (sich),-,-,to lay down,Ich lege mich jetzt hin. (I’m laying down now.),
hinter (+ D.),-,-,behind,Das Auto steht hinter dem Haus. (The car is behind the house.),
Hitze,die,-,heat,Die Hitze heute ist kaum auszuhalten. (The heat today is unbearable.),
Hobby,das,-s,hobby,Mein Hobby ist Lesen. (My hobby is reading.),Die Hobbys der Kinder sind vielfältig. (The children’s hobbies are varied.)
hoch,-,-,high,Der Berg ist sehr hoch. (The mountain is very high.),
Hochhaus,das,-er,skyscraper,Das Hochhaus überragt die Stadt. (The skyscraper towers over the city.),Die Hochhäuser prägen die Skyline. (The skyscrapers shape the skyline.)
Hof,der,-e,"courtyard, yard",Der Hof ist gepflastert. (The courtyard is paved.),Die Höfe der Burg sind beeindruckend. (The castle courtyards are impressive.)
hoffentlich,-,-,hopefully,Hoffentlich regnet es heute nicht. (Hopefully it won’t rain today.),
höflich,-,-,polite,Sei bitte höflich zu den Gästen. (Please be polite to the guests.),
Höflichkeit,die,-,politeness,Höflichkeit ist in Deutschland sehr wichtig. (Politeness is very important in Germany.),
holen (1),-,-,to fetch,Kannst du Wasser holen? (Can you fetch water?),
holen (2),-,-,to bring,Er holt einen Stuhl herbei. (He brings a chair over.),
Holz,das,-er,wood,Das Haus ist aus Holz gebaut. (The house is built of wood.),Die Hölzer sind von hoher Qualität. (The woods are of high quality.)
Homepage,die,-s,homepage,Die Homepage ist benutzerfreundlich. (The homepage is user-friendly.),Die Homepages der Firmen sind modern. (The homepages of companies are modern.)
Honig,der,-,honey,Honig ist ein gutes Hausmittel gegen Husten. (Honey is a good home remedy for cough.),
hören,-,-,to hear,Ich höre Musik. (I listen to music.),
Hose,die,-n,pants,Die Hose ist zu eng. (The pants are too tight.),Die Hosen liegen in meinem Schrank. (The pants lie in my closet.)
